CINT2006,"Intel Corporation","ASUS Z97-A motherboard (Intel Core i5-4690K)",4,1,4,60.2,58.2,Jun-2014
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-650)",2,1,2,32.2,30.7,Aug-2011
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-650)",2,1,2,28.9,27.7,Dec-2010
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-660)",2,1,2,33.2,31.5,Aug-2011
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-661)",2,1,2,33.1,31.5,Aug-2011
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-670)",2,1,2,34,32.2,Aug-2011
CINT2006,"Intel Corporation","Intel DH57JG Motherboard (Intel Core i5-680)",2,1,2,34.2,32.7,Aug-2011
CINT2006,"Intel Corporation","Intel DH57JG motherboard (Intel Core i5-661)",2,1,2,30,28.5,Mar-2010
CINT2006,"Intel Corporation","Intel DH61WW motherboard (Intel Core i5-2300)",4,1,4,39,37.1,Oct-2011
CINT2006,"Intel Corporation","Intel DH61WW motherboard (Intel Core i5-2310)",4,1,4,42.3,40.3,Jan-2012
CINT2006,"Intel Corporation","Intel DH61WW motherboard (Intel Core i5-2400)",4,1,4,42,39.9,Dec-2011
CINT2006,"Intel Corporation","Intel DH67BL Motherboard (Intel Core i5-2320)",4,1,4,43.6,41.5,Aug-2012
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2300)",4,1,4,37.4,35.5,May-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2310)",4,1,4,38.5,36.5,May-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2390T)",2,1,2,39.6,35.6,Aug-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2390T)",2,1,2,37.8,35.8,May-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2400)",4,1,4,42.1,40,Aug-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2400)",4,1,4,40.5,38.5,Apr-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2400S)",4,1,4,38.7,36,May-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2500)",4,1,4,45.1,42.7,Aug-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2500)",4,1,4,43.3,41.1,Apr-2011
CINT2006,"Intel Corporation","Intel DH67BLB3 Motherboard (Intel Core i5-2500K)",4,1,4,45,42.8,Aug-2011
